instance,conf.id,gen.seed,nodes,vehi,density,depot.placement,node.placement,unused.vehi,cost.GA,cost.LP,gap,selection
HHCRSP_10_3_81_0.8_R_C,0.8_R_C,81,10,3,0.8,R,C,0,117.7,14.3354,721.044407550539,hardest
HHCRSP_10_3_46_1.0_R_C,1.0_R_C,46,10,3,1,R,C,1,107,13.0026,722.912340608801,hardest
HHCRSP_10_3_67_1.0_R_C,1.0_R_C,67,10,3,1,R,C,0,194.7,23.341,734.154492095454,hardest
HHCRSP_10_3_75_1.0_R_C,1.0_R_C,75,10,3,1,R,C,0,110,8.67023,1168.70913459043,hardest
HHCRSP_10_3_11_1.2_R_C,1.2_R_C,11,10,3,1.2,R,C,1,89,10.6694,734.161246180666,hardest
HHCRSP_10_3_27_1.2_R_C,1.2_R_C,27,10,3,1.2,R,C,1,149.3,11.6749,1178.81180995126,hardest
HHCRSP_10_3_75_1.2_R_C,1.2_R_C,75,10,3,1.2,R,C,0,90.7,9.0017,907.587455702812,hardest
HHCRSP_10_3_75_1.6_R_C,1.6_R_C,75,10,3,1.6,R,C,0,90.7,9.0017,907.587455702812,hardest
HHCRSP_10_3_81_1.6_R_C,1.6_R_C,81,10,3,1.6,R,C,1,95,10.0076,849.27854830329,hardest
HHCRSP_10_3_83_1.6_R_C,1.6_R_C,83,10,3,1.6,R,C,0,128,11.6685,996.970476068046,hardest
HHCRSP_10_3_97_0.4_C_C,0.4_C_C,97,10,3,0.4,C,C,0,52.7,31.3563,68.0682988745483,sample
HHCRSP_10_3_12_0.4_C_R,0.4_C_R,12,10,3,0.4,C,R,0,141,59.7449,136.003407822258,sample
HHCRSP_10_3_19_0.4_R_C,0.4_R_C,19,10,3,0.4,R,C,0,65,25.3418,156.49322463282,sample
HHCRSP_10_3_40_0.4_R_C,0.4_R_C,40,10,3,0.4,R,C,0,103.3,58.0046,78.0893239501695,sample
HHCRSP_10_3_90_0.8_C_R,0.8_C_R,90,10,3,0.8,C,R,0,72,42.0451,71.2446872524979,sample
HHCRSP_10_3_10_0.8_R_C,0.8_R_C,10,10,3,0.8,R,C,0,53.3,14.3402,271.682403313761,sample
HHCRSP_10_3_21_0.8_R_R,0.8_R_R,21,10,3,0.8,R,R,0,89.7,66.6711,34.5410530199742,sample
HHCRSP_10_3_38_0.8_R_RC,0.8_R_RC,38,10,3,0.8,R,RC,0,63,44.6704,41.0329882875461,sample
HHCRSP_10_3_7_1.2_C_RC,1.2_C_RC,7,10,3,1.2,C,RC,0,93.7,44.3351,111.344961441386,sample
HHCRSP_10_3_75_1.6_C_RC,1.6_C_RC,75,10,3,1.6,C,RC,0,72.3,52.0017,39.0339161988935,sample
HHCRSP_25_5_50_0.8_C_C,0.8_C_C,50,25,5,0.8,C,C,1,651,34.3596,1794.66699263088,hardest
HHCRSP_25_5_26_1.0_C_C,1.0_C_C,26,25,5,1,C,C,0,429,37.3392,1048.926597249,hardest
HHCRSP_25_5_47_1.0_C_RC,1.0_C_RC,47,25,5,1,C,RC,0,869,75.438,1051.93934091572,hardest
HHCRSP_25_5_13_1.0_R_C,1.0_R_C,13,25,5,1,R,C,0,176,13.3333,1220.00330000825,hardest
HHCRSP_25_5_84_1.2_C_C,1.2_C_C,84,25,5,1.2,C,C,0,568.3,39.3354,1344.75459763978,hardest
HHCRSP_25_5_29_1.2_R_C,1.2_R_C,29,25,5,1.2,R,C,0,698.7,49.6801,1306.39813526945,hardest
HHCRSP_25_5_26_1.6_C_C,1.6_C_C,26,25,5,1.6,C,C,0,864.7,29.3406,2847.11082936273,hardest
HHCRSP_25_5_42_1.6_R_C,1.6_R_C,42,25,5,1.6,R,C,0,430.3,36.0099,1094.94916675692,hardest
HHCRSP_25_5_79_1.6_R_C,1.6_R_C,79,25,5,1.6,R,C,0,618.7,41.0106,1408.63435306969,hardest
HHCRSP_25_5_79_1.6_R_RC,1.6_R_RC,79,25,5,1.6,R,RC,1,1048,65.7272,1494.46926082353,hardest
HHCRSP_25_5_41_0.4_C_R,0.4_C_R,41,25,5,0.4,C,R,0,296.3,88.3722,235.286436232209,sample
HHCRSP_25_5_37_0.4_C_RC,0.4_C_RC,37,25,5,0.4,C,RC,0,277,110.076,151.644318470875,sample
HHCRSP_25_5_40_0.4_R_RC,0.4_R_RC,40,25,5,0.4,R,RC,0,178,90.3924,96.9192100220815,sample
HHCRSP_25_5_48_0.8_R_RC,0.8_R_RC,48,25,5,0.8,R,RC,0,212.7,93.38,127.778967659028,sample
HHCRSP_25_5_86_1.0_C_C,1.0_C_C,86,25,5,1,C,C,0,72.7,38.3391,89.6236479207911,sample
HHCRSP_25_5_57_1.2_C_R,1.2_C_R,57,25,5,1.2,C,R,0,210.7,110.698,90.3376754774251,sample
HHCRSP_25_5_67_1.2_C_RC,1.2_C_RC,67,25,5,1.2,C,RC,0,259,103.347,150.612015830164,sample
HHCRSP_25_5_72_1.6_C_C,1.6_C_C,72,25,5,1.6,C,C,0,58,39.6692,46.2091496677523,sample
HHCRSP_25_5_9_1.6_R_RC,1.6_R_RC,9,25,5,1.6,R,RC,0,182,57.0089,219.248398057146,sample
