instance,logfile,status,time,iters,nodes,lb,ub,rows,cols,nzz
InstanzCPLEX_HCSRP_10_9.txt,logs-cplex-defaults-mem-emphasis-1thread/InstanzCPLEX_HCSRP_10_9.log,OPT,2.92,29805,2615,2.2229502767e+02,2.2229502767e+02,242,219,1292
instance,logfile,status,time,iters,nodes,lb,ub,rows,cols,nzz
InstanzVNS_HCSRP_100_5.txt,logs-cplex-defaults-mem-emphasis-1thread/InstanzVNS_HCSRP_100_5.log,TL,7200.01,1965039,6757,4.1661639476e+02,NA,69246,57702,827311
InstanzCPLEX_HCSRP_75_7.txt,logs-cplex-defaults-mem-emphasis-1thread/InstanzCPLEX_HCSRP_75_7.log,TL,7200.01,5041522,36025,3.6167436955e+02,NA,38527,31377,429137
InstanzCPLEX_HCSRP_10_10.txt,logs-cplex-defaults-mem-emphasis-1thread/InstanzCPLEX_HCSRP_10_10.log,OPT,0.02,122,0,2.2500599533e+02,2.2500599533e+02,108,100,394
InstanzVNS_HCSRP_300_10.txt,logs-cplex-defaults-mem-emphasis-1thread/InstanzVNS_HCSRP_300_10.log,TL,7201.71,118803,0,6.3375750270e+02,NA,1192978,959127,23197794
InstanzCPLEX_HCSRP_25_7.txt,logs-cplex-defaults-mem-emphasis-1thread/InstanzCPLEX_HCSRP_25_7.log,TL,7200.00,46460821,1822362,3.0239333996e+02,3.2867077267e+02,1581,1353,10714
InstanzVNS_HCSRP_200_7.txt,logs-cplex-defaults-mem-emphasis-1thread/InstanzVNS_HCSRP_200_7.log,TL,7200.21,248816,546,5.1297621314e+02,NA,519958,424421,8953420
InstanzCPLEX_HCSRP_10_3.txt,logs-cplex-defaults-mem-emphasis-1thread/InstanzCPLEX_HCSRP_10_3.log,OPT,0.92,17387,1969,3.0585957400e+02,3.0585957400e+02,161,144,713
InstanzCPLEX_HCSRP_75_5.txt,logs-cplex-defaults-mem-emphasis-1thread/InstanzCPLEX_HCSRP_75_5.log,TL,7200.00,3745910,23528,4.1580879049e+02,NA,29555,23964,311356
InstanzVNS_HCSRP_100_1.txt,logs-cplex-defaults-mem-emphasis-1thread/InstanzVNS_HCSRP_100_1.log,TL,7200.02,3473490,16811,4.2773565692e+02,NA,65993,54398,815046
InstanzCPLEX_HCSRP_25_4.txt,logs-cplex-defaults-mem-emphasis-1thread/InstanzCPLEX_HCSRP_25_4.log,TL,7200.00,62291278,1846217,3.3662847291e+02,4.1129577673e+02,1007,869,6171
InstanzVNS_HCSRP_200_9.txt,logs-cplex-defaults-mem-emphasis-1thread/InstanzVNS_HCSRP_200_9.log,TL,7202.03,546978,2036,5.4233910100e+02,NA,437889,354031,7606058
InstanzCPLEX_HCSRP_50_6.txt,logs-cplex-defaults-mem-emphasis-1thread/InstanzCPLEX_HCSRP_50_6.log,TL,7200.00,20960787,311235,3.5004265760e+02,NA,8834,7270,77436
