instance,logfile,status,time,iters,nodes,lb,ub,rows,cols,nzz
InstanzCPLEX_HCSRP_10_9.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_10_9.log,OPT,0.71,57719,6091,2.2229502767e+02,2.2229502767e+02,242,219,1292
InstanzCPLEX_HCSRP_25_7.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_25_7.log,OPT,270.83,7905899,384227,3.2867077267e+02,3.2867077267e+02,1524,1294,20167
InstanzVNS_HCSRP_100_5.txt,logs-cplex-defaults-mem-emphasis/InstanzVNS_HCSRP_100_5.log,TL,7201.60,12645533,93746,3.8626478935e+02,NA,69246,57702,827311
InstanzCPLEX_HCSRP_75_7.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_75_7.log,TL,7204.06,6407627,135441,3.6314871139e+02,9.4132205302e+03,38527,31377,429137
InstanzCPLEX_HCSRP_10_10.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_10_10.log,OPT,0.11,122,0,2.2500599533e+02,2.2500599533e+02,108,100,394
InstanzVNS_HCSRP_300_10.txt,logs-cplex-defaults-mem-emphasis/InstanzVNS_HCSRP_300_10.log,OOM-BC,NA,68650,0,441.4092,NA,1192978,959127,23197794
InstanzVNS_HCSRP_200_7.txt,logs-cplex-defaults-mem-emphasis/InstanzVNS_HCSRP_200_7.log,OOM-BC,1595.72,57054,4,480.8025,NA,519958,424421,8953420
InstanzCPLEX_HCSRP_10_3.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_10_3.log,OPT,0.88,60179,7522,3.0585957400e+02,3.0585957400e+02,161,144,713
InstanzCPLEX_HCSRP_75_5.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_75_5.log,TL,7204.12,7832314,104037,4.1843862194e+02,NA,29555,23964,311356
InstanzVNS_HCSRP_100_1.txt,logs-cplex-defaults-mem-emphasis/InstanzVNS_HCSRP_100_1.log,TL,7202.31,14115661,118957,4.0053032552e+02,NA,65993,54398,815030
InstanzCPLEX_HCSRP_25_4.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_25_4.log,OPT,3547.89,146641356,4616149,4.1129577673e+02,4.1129577673e+02,1007,869,6171
InstanzVNS_HCSRP_200_9.txt,logs-cplex-defaults-mem-emphasis/InstanzVNS_HCSRP_200_9.log,OOM-BC,6054.43,532184,1710,514.4592,NA,437889,354031,7606058
InstanzCPLEX_HCSRP_50_6.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_50_6.log,TL,7202.45,28762613,855799,3.4680090629e+02,1.0133615874e+03,8834,7270,77436
InstanzCPLEX_HCSRP_75_2.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_75_2.log,TL,7205.80,11529308,256325,3.8583179987e+02,NA,23165,19112,230828
InstanzCPLEX_HCSRP_25_6.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_25_6.log,TL,7200.02,173770259,6039009,3.7988345875e+02,4.4092815740e+02,1421,1193,9419
InstanzCPLEX_HCSRP_75_8.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_75_8.log,TL,7202.18,12755654,129120,4.0878187113e+02,2.6505003997e+04,34791,28379,376411
InstanzVNS_HCSRP_100_9.txt,logs-cplex-defaults-mem-emphasis/InstanzVNS_HCSRP_100_9.log,TL,7206.37,9337021,95653,4.1162977122e+02,NA,59105,50153,704464
InstanzCPLEX_HCSRP_75_3.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_75_3.log,TL,7200.19,19728790,194369,3.7438561167e+02,NA,33999,27687,369112
InstanzVNS_HCSRP_300_8.txt,logs-cplex-defaults-mem-emphasis/InstanzVNS_HCSRP_300_8.log,OOM-BC,NA,8989,0,461.9033,NA,1229685,1001137,24678703
InstanzCPLEX_HCSRP_50_7.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_50_7.log,TL,7202.38,12476245,284880,3.5047650939e+02,8.6441227267e+02,12310,10291,111465
