instance,logfile,status,time,iters,nodes,lb,ub,rows,cols,nzz
InstanzVNS_HCSRP_100_5.txt,logs-cplex-softcut-1thread-warmstart/InstanzVNS_HCSRP_100_5.log,TL,7200.02,576745,769,4.0560824977e+02,8.1070346333e+02,69246,57702,827311
InstanzCPLEX_HCSRP_10_9.txt,logs-cplex-softcut-1thread-warmstart/InstanzCPLEX_HCSRP_10_9.log,OPT,1.21,25170,2001,2.2229502767e+02,2.2229502767e+02,243,219,1294
InstanzCPLEX_HCSRP_75_7.txt,logs-cplex-softcut-1thread-warmstart/InstanzCPLEX_HCSRP_75_7.log,TL,7200.00,3817922,7806,3.5873565621e+02,5.9982958743e+02,38527,31377,429070
InstanzCPLEX_HCSRP_25_7.txt,logs-cplex-softcut-1thread-warmstart/InstanzCPLEX_HCSRP_25_7.log,OPT,429.53,3495444,131231,3.2867077267e+02,3.2867077267e+02,1456,1235,9479
InstanzCPLEX_HCSRP_10_10.txt,logs-cplex-softcut-1thread-warmstart/InstanzCPLEX_HCSRP_10_10.log,OPT,0.11,108,0,2.2500599533e+02,2.2500599533e+02,55,42,166
InstanzVNS_HCSRP_300_10.txt,logs-cplex-softcut-1thread-warmstart/InstanzVNS_HCSRP_300_10.log,TL,7200.55,137094,42,6.1757667548e+02,2.0222559333e+03,1192978,959127,23197794
InstanzCPLEX_HCSRP_10_3.txt,logs-cplex-softcut-1thread-warmstart/InstanzCPLEX_HCSRP_10_3.log,OPT,0.85,16312,2104,3.0585957400e+02,3.0585957400e+02,162,143,710
InstanzVNS_HCSRP_200_7.txt,logs-cplex-softcut-1thread-warmstart/InstanzVNS_HCSRP_200_7.log,TL,7200.22,234994,533,5.0781239997e+02,1.1779363067e+03,519958,424421,8953420
InstanzCPLEX_HCSRP_75_5.txt,logs-cplex-softcut-1thread-warmstart/InstanzCPLEX_HCSRP_75_5.log,TL,7200.01,2356958,2559,3.9809427906e+02,7.3249481233e+02,29554,23964,311241
InstanzCPLEX_HCSRP_25_4.txt,logs-cplex-softcut-1thread-warmstart/InstanzCPLEX_HCSRP_25_4.log,OPT,696.35,5692793,261373,4.1129577673e+02,4.1129577673e+02,987,847,5984
InstanzVNS_HCSRP_100_1.txt,logs-cplex-softcut-1thread-warmstart/InstanzVNS_HCSRP_100_1.log,TL,7200.02,1090158,1055,4.2228392073e+02,1.3752753867e+03,65994,54398,815032
InstanzVNS_HCSRP_200_9.txt,logs-cplex-softcut-1thread-warmstart/InstanzVNS_HCSRP_200_9.log,TL,7200.07,222053,512,5.3831052223e+02,1.3466825600e+03,437889,354031,7606058
InstanzCPLEX_HCSRP_25_6.txt,logs-cplex-softcut-1thread-warmstart/InstanzCPLEX_HCSRP_25_6.log,TL,7200.00,55006221,1230755,3.9609380423e+02,4.6591582940e+02,1424,1193,9383
InstanzCPLEX_HCSRP_50_6.txt,logs-cplex-softcut-1thread-warmstart/InstanzCPLEX_HCSRP_50_6.log,TL,7200.00,16661520,65719,3.6696494511e+02,8.3866977717e+02,8834,7270,77306
InstanzCPLEX_HCSRP_75_2.txt,logs-cplex-softcut-1thread-warmstart/InstanzCPLEX_HCSRP_75_2.log,TL,7200.00,7583278,14506,3.8928224072e+02,7.0677069487e+02,23163,19112,230598
InstanzCPLEX_HCSRP_75_8.txt,logs-cplex-softcut-1thread-warmstart/InstanzCPLEX_HCSRP_75_8.log,TL,7200.04,1893061,1734,3.9699309454e+02,6.6177467567e+02,34791,28379,376305
InstanzVNS_HCSRP_100_9.txt,logs-cplex-softcut-1thread-warmstart/InstanzVNS_HCSRP_100_9.log,TL,7200.01,426882,644,4.3339951662e+02,9.6956043333e+02,59105,50153,704464
InstanzCPLEX_HCSRP_75_3.txt,logs-cplex-softcut-1thread-warmstart/InstanzCPLEX_HCSRP_75_3.log,TL,7200.01,2408818,2502,3.8167748862e+02,6.5025526063e+02,33999,27687,369112
InstanzVNS_HCSRP_300_8.txt,logs-cplex-softcut-1thread-warmstart/InstanzVNS_HCSRP_300_8.log,TL,7200.17,163313,486,6.1884345632e+02,1.7542038867e+03,1229685,1001137,24678703
InstanzCPLEX_HCSRP_10_6.txt,logs-cplex-softcut-1thread-warmstart/InstanzCPLEX_HCSRP_10_6.log,OPT,0.08,1326,246,2.0009915890e+02,2.0009915890e+02,170,150,781
InstanzCPLEX_HCSRP_50_7.txt,logs-cplex-softcut-1thread-warmstart/InstanzCPLEX_HCSRP_50_7.log,TL,7200.02,12608799,33385,3.5607787751e+02,5.2203224833e+02,12310,10291,111260
InstanzVNS_HCSRP_200_6.txt,logs-cplex-softcut-1thread-warmstart/InstanzVNS_HCSRP_200_6.log,TL,7200.05,248854,510,5.0874718179e+02,1.4412971900e+03,364034,302902,5820717
InstanzCPLEX_HCSRP_10_8.txt,logs-cplex-softcut-1thread-warmstart/InstanzCPLEX_HCSRP_10_8.log,OPT,0.07,880,175,2.3204877757e+02,2.3204877757e+02,143,124,592
InstanzVNS_HCSRP_300_3.txt,logs-cplex-softcut-1thread-warmstart/InstanzVNS_HCSRP_300_3.log,TL,7200.59,222721,214,5.9318343578e+02,1.6081932733e+03,1233612,998102,24500290
