instance,logfile,status,time,iters,nodes,lb,ub,rows,cols,nzz
InstanzVNS_HCSRP_100_5.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzVNS_HCSRP_100_5.log,TL,7200.03,288411,587,4.0359097556e+02,8.1070346333e+02,69246,57702,827311
InstanzCPLEX_HCSRP_10_9.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_10_9.log,OPT,1.33,26734,2315,2.2229502767e+02,2.2229502767e+02,243,219,1294
InstanzCPLEX_HCSRP_75_7.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_75_7.log,TL,7200.00,3540779,4746,3.5903605247e+02,5.9982958743e+02,38527,31377,429070
InstanzCPLEX_HCSRP_10_10.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_10_10.log,OPT,0.02,108,0,2.2500599533e+02,2.2500599533e+02,55,42,166
InstanzCPLEX_HCSRP_25_7.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_25_7.log,OPT,598.71,4435965,170681,3.2867077267e+02,3.2867077267e+02,1501,1275,9813
InstanzVNS_HCSRP_200_7.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzVNS_HCSRP_200_7.log,TL,7200.25,131398,520,5.0251943198e+02,1.1779363067e+03,519958,424421,8953420
InstanzVNS_HCSRP_300_10.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzVNS_HCSRP_300_10.log,TL,7200.52,134293,38,6.2100921487e+02,2.0222559333e+03,1194578,959127,23200994
InstanzCPLEX_HCSRP_10_3.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_10_3.log,OPT,0.83,16383,2192,3.0585957400e+02,3.0585957400e+02,162,143,710
InstanzVNS_HCSRP_100_1.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzVNS_HCSRP_100_1.log,TL,7200.01,681976,797,4.2179582386e+02,1.3752753867e+03,65994,54398,815032
InstanzCPLEX_HCSRP_75_5.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_75_5.log,TL,7200.03,3816457,4644,4.0425910505e+02,7.3054424890e+02,29554,23964,311241
InstanzCPLEX_HCSRP_25_4.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_25_4.log,OPT,509.92,5069705,220784,4.1129577673e+02,4.1129577673e+02,992,852,5999
InstanzVNS_HCSRP_200_9.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzVNS_HCSRP_200_9.log,TL,7200.06,274069,504,5.3586869840e+02,1.3466825600e+03,437889,354031,7606058
InstanzCPLEX_HCSRP_50_6.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_50_6.log,TL,7200.01,16425177,59725,3.6613478050e+02,8.3892037847e+02,8834,7270,77306
InstanzCPLEX_HCSRP_75_2.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_75_2.log,TL,7200.01,3971287,19698,3.8601953443e+02,6.9394297800e+02,23163,19112,230598
InstanzCPLEX_HCSRP_25_6.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_25_6.log,TL,7200.00,57536252,1134634,3.7281308580e+02,4.6733884657e+02,1424,1193,9383
