instance,lit.lb,lit.time,lit.time,nocut.lb,nocut.ini,nocut.end,nocut.nodes,cut.lb,cut.ini,cut.end,cut.nodes
A1,218.2,2,2.94,218.2,226.98,218.2,43,218.2,226.98,218.2,43
A2,246.6,5,7.36,246.63,246.63,246.63,526,246.63,246.63,246.63,463
A3,305.8,7,10.3,305.86,305.86,305.86,2104,305.86,305.86,305.86,2192
A4,186.9,8,11.78,186.89,186.9,186.9,2130,186.9,186.9,186.9,1998
A5,189.5,2,2.94,189.53,191.97,189.54,582,189.54,191.97,189.54,674
A6,200.1,2,2.94,200.1,200.13,200.1,246,200.1,200.13,200.1,375
A7,225.4,1,1.47,225.37,225.37,225.37,222,225.37,225.37,225.37,222
A8,232,4,5.89,232.05,232.05,232.05,175,232.05,232.05,232.05,175
A9,222.3,20,29.44,222.3,234.21,222.3,2001,222.3,234.21,222.3,2315
A10,225,1,1.47,225.01,225.01,225.01,0,225.01,225.01,225.01,0
B1,378.7,36000,52987.5,420.48,428.58,428.1,3178469,428.05,428.58,428.1,3149921
B2,427.9,36000,52987.5,476,483.63,476.05,1035325,476,483.63,476.05,268511
B3,391.2,36000,52987.5,337.61,402.8,399.09,1669625,371.41,402.8,399.09,1865152
B4,330.4,36000,52987.5,411.25,432.16,411.3,261373,411.25,432.16,411.3,220784
B5,311,36000,52987.5,366.3,380.73,366.34,1238342,363.69,380.73,366.34,2044932
B6,274.2,36000,52987.5,396.09,472.82,465.92,1230755,372.81,472.82,467.34,1134634
B7,310.6,36000,52987.5,328.64,328.67,328.67,131231,328.64,328.67,328.67,170681
B8,332.4,36000,52987.5,357.65,359.7,357.68,60435,357.65,359.7,357.68,228650
B9,293.7,36000,52987.5,338.41,404.11,402.67,845001,336.9,404.11,402.67,748709
B10,381,36000,52987.5,417.04,469.58,469.58,1011761,413.65,469.58,469.58,1458151
C1,401.1,36000,52987.5,481.03,965.15,953.81,22779,477.27,965.15,951.04,24016
C2,314.9,36000,52987.5,367.05,584.3,578.83,72778,377.44,584.3,577.85,46361
C3,323.5,36000,52987.5,390.56,559.88,548.8,40854,396.38,559.89,559.01,44907
C4,329.4,36000,52987.5,366.7,537.17,513.83,48903,367.4,537.17,513.31,47961
C5,404.2,36000,52987.5,485.36,692.16,663.92,38896,496.87,692.16,667.93,43036
C6,308.2,36000,52987.5,366.96,843.73,838.67,65719,366.13,843.73,838.92,59725
C7,315.7,36000,52987.5,356.08,538.45,522.03,33385,365.25,538.45,525.65,26149
C8,336.3,36000,52987.5,387.84,480.99,473.42,91336,377.05,480.99,473.06,82757
C9,306.5,36000,52987.5,364.72,545.22,541.94,41625,361.55,545.22,542.46,44903
C10,386.4,36000,52987.5,448.78,619.42,601.47,65304,449.83,619.42,601.47,64989
D1,456.7,36000,52987.5,515.06,1199.47,1199.47,5560,514.36,1199.47,1199.47,6223
D2,336.8,36000,52987.5,389.28,706.77,706.77,14506,386.02,706.77,693.94,19698
D3,355.7,36000,52987.5,381.68,650.26,650.26,2502,379.51,650.26,650.26,1386
D4,379.9,36000,52987.5,411.97,822.79,822.11,4048,408.46,822.79,822.79,4927
D5,372.2,36000,52987.5,398.09,732.49,732.49,2559,404.26,732.5,730.54,4644
D6,368.8,36000,52987.5,397.13,735.38,735.38,1691,391.8,735.38,735.38,1213
D7,333.4,36000,52987.5,358.74,599.83,599.83,7806,359.04,599.83,599.83,4746
D8,373.3,36000,52987.5,396.99,661.77,661.77,1734,406.81,661.78,661.77,3660
D9,362.4,36000,52987.5,387.77,715.85,715.85,3070,387.59,715.85,715.85,2570
D10,434.4,36000,52987.5,479.22,1216.01,1210.16,9253,479.34,1216.01,1203.04,9013
E1,406,36000,52987.5,422.28,1375.28,1375.28,1055,421.8,1375.28,1375.28,797
E2,411.9,36000,52987.5,427.15,905,905,764,423.66,905,905,639
E3,437.2,36000,52987.5,448.03,818.19,818.19,767,445.24,818.19,818.19,601
E4,384.3,36000,52987.5,398.24,732.73,732.73,691,398.49,732.73,732.73,625
E5,392.4,36000,52987.5,405.61,810.7,810.7,769,403.59,810.7,810.7,587
E6,390.2,36000,52987.5,407.71,814.02,814.02,633,404.53,814.02,814.02,581
E7,374.4,36000,52987.5,387.31,735.77,735.77,1180,384.7,735.77,735.77,911
E8,407.7,36000,52987.5,426.93,761.8,761.8,608,425.85,761.8,761.8,637
E9,422.1,36000,52987.5,433.4,969.56,969.56,644,431.22,969.56,969.56,610
E10,419.1,36000,52987.5,443.12,867.18,867.18,547,441.79,867.18,867.18,550
F1,445.1,36000,52987.5,547.41,1504.12,1504.12,527,546.74,1504.12,1504.12,519
F2,457.9,36000,52987.5,536.97,1459.52,1459.52,490,534.99,1459.52,1459.52,505
F3,481.8,36000,52987.5,545.31,1327.89,1327.89,480,541.61,1327.89,1327.89,479
F4,417.4,36000,52987.5,519.6,1162.77,1162.77,518,523.96,1162.77,1162.77,511
F5,452.3,36000,52987.5,531.8,1391.93,1391.93,505,529.04,1391.93,1391.93,487
F6,367.1,36000,52987.5,508.75,1441.3,1441.3,510,498.61,1441.3,1441.3,510
F7,408.1,36000,52987.5,507.81,1177.94,1177.94,533,502.52,1177.94,1177.94,520
F8,454.3,36000,52987.5,529.52,1169.18,1169.18,499,532.92,1169.18,1169.18,532
F9,426.8,36000,52987.5,538.31,1346.68,1346.68,512,535.87,1346.68,1346.68,504
F10,441.8,36000,52987.5,539.73,1470.02,1470.02,491,540.23,1470.02,1470.02,499
G1,455,36000,52987.5,579.49,2036.98,2036.98,443,584.56,2036.98,2036.98,352
G2,463.1,36000,52987.5,602.84,2083.89,2083.89,504,600.61,2083.89,2083.89,500
