instance,logfile,status,time,iters,nodes,lb,ub,rows,cols,nzz
InstanzCPLEX_HCSRP_10_9.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_10_9.log,OPT,2.80,17869,1602,2.2229502767e+02,2.2229502767e+02,242,219,1292
InstanzCPLEX_HCSRP_10_10.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_10_10.log,OPT,0.02,122,0,2.2500599533e+02,2.2500599533e+02,108,100,394
InstanzVNS_HCSRP_100_5.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_100_5.log,TL,7200.04,1391029,6494,4.1463700740e+02,NA,69246,57702,827311
InstanzCPLEX_HCSRP_75_7.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_75_7.log,TL,7200.00,3544576,38389,3.6413599071e+02,NA,38527,31377,429180
InstanzCPLEX_HCSRP_25_7.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_25_7.log,OPT,5991.43,42993137,1822596,3.2867077267e+02,3.2867077267e+02,1581,1353,10714
InstanzVNS_HCSRP_300_10.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_300_10.log,TL,7201.52,126280,0,6.3892243293e+02,NA,1192978,959127,23197794
InstanzVNS_HCSRP_200_7.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_200_7.log,TL,7200.19,370486,1584,5.0881511962e+02,NA,519958,424421,8953420
InstanzCPLEX_HCSRP_10_3.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_10_3.log,OPT,0.91,17575,2007,3.0585957400e+02,3.0585957400e+02,161,144,713
InstanzCPLEX_HCSRP_75_5.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_75_5.log,TL,7200.01,4465819,25439,4.1337068248e+02,NA,29555,23964,311416
InstanzVNS_HCSRP_100_1.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_100_1.log,TL,7200.02,1957429,12912,4.3050803815e+02,NA,65993,54398,815046
InstanzCPLEX_HCSRP_25_4.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_25_4.log,TL,7200.00,59594017,1968842,3.4122611155e+02,4.1129577673e+02,1007,869,6171
InstanzVNS_HCSRP_200_9.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_200_9.log,TL,7200.02,436014,3054,5.1526964812e+02,NA,437889,354031,7606058
InstanzCPLEX_HCSRP_50_6.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_50_6.log,TL,7200.00,11333150,198283,3.5109365644e+02,NA,8834,7270,77436
InstanzCPLEX_HCSRP_75_2.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_75_2.log,OOM-BC,4922.24,3455544,70992,383.9486,NA,23165,19112,230828
InstanzCPLEX_HCSRP_25_6.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_25_6.log,TL,7200.04,45476937,1779927,2.7138723528e+02,4.4169760907e+02,1421,1193,9419
InstanzCPLEX_HCSRP_75_8.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_75_8.log,TL,7200.01,5497554,22522,4.0662009168e+02,NA,34791,28379,376411
InstanzVNS_HCSRP_100_9.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_100_9.log,TL,7200.04,2368779,14963,4.4560075822e+02,NA,59105,50153,704464
InstanzCPLEX_HCSRP_75_3.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_75_3.log,TL,7200.01,2877878,26561,3.7291799874e+02,NA,33999,27687,369353
InstanzVNS_HCSRP_300_8.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_300_8.log,TL,7200.53,141506,48,6.1667892015e+02,NA,1229685,1001137,24678703
InstanzCPLEX_HCSRP_50_7.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_50_7.log,TL,7200.00,9659521,102843,3.4589462073e+02,NA,12310,10291,111465
InstanzCPLEX_HCSRP_10_6.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_10_6.log,OPT,0.34,4081,680,2.0009915890e+02,2.0009915890e+02,168,150,777
InstanzVNS_HCSRP_200_6.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_200_6.log,TL,7200.17,362317,1054,5.1749146092e+02,NA,364034,302902,5820717
InstanzCPLEX_HCSRP_10_8.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_10_8.log,OPT,0.14,2378,434,2.3204877757e+02,2.3204877757e+02,141,124,588
InstanzVNS_HCSRP_300_3.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_300_3.log,TL,7200.80,157557,293,6.0624886867e+02,NA,1233612,998102,24500290
InstanzVNS_HCSRP_300_1.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_300_1.log,TL,7200.16,140602,51,6.0449155077e+02,NA,1316360,1068000,26205776
InstanzVNS_HCSRP_200_2.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_200_2.log,TL,7200.06,395124,2435,5.3914098916e+02,NA,435965,356103,7229897
InstanzCPLEX_HCSRP_50_4.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_50_4.log,TL,7200.00,14849321,151983,3.5739485374e+02,NA,8751,7454,75000
InstanzVNS_HCSRP_100_8.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_100_8.log,TL,7200.03,2167574,5320,4.3562344206e+02,NA,66371,53990,795657
InstanzCPLEX_HCSRP_25_3.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_25_3.log,TL,7200.00,51039540,1622206,3.1675879853e+02,3.9909187640e+02,1402,1175,9294
InstanzCPLEX_HCSRP_25_5.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_25_5.log,TL,7200.00,61598026,2420104,3.3560916620e+02,3.6633909303e+02,1212,1013,7769
InstanzCPLEX_HCSRP_10_4.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_10_4.log,OPT,1.75,29480,3350,1.8689694460e+02,1.8689694460e+02,167,153,737
InstanzVNS_HCSRP_200_5.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_200_5.log,TL,7200.17,399539,3018,5.1069993793e+02,NA,484712,391512,8241167
InstanzCPLEX_HCSRP_50_3.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_50_3.log,TL,7200.00,18311212,270547,3.7908637045e+02,NA,8684,7327,75931
InstanzVNS_HCSRP_100_2.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_100_2.log,TL,7200.01,3140644,14109,4.3176427698e+02,NA,63201,52118,779702
InstanzVNS_HCSRP_300_7.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_300_7.log,TL,7200.49,216866,1040,6.0348348182e+02,NA,1280072,1049769,25510902
InstanzCPLEX_HCSRP_25_1.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_25_1.log,TL,7200.00,49455910,2123575,3.9838078878e+02,4.3468586033e+02,1372,1122,9080
InstanzVNS_HCSRP_100_4.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_100_4.log,TL,7200.05,1650292,9782,4.1030734195e+02,NA,74154,60928,904166
InstanzVNS_HCSRP_100_10.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_100_10.log,TL,7200.07,1838317,9720,4.5531322127e+02,NA,65545,52635,810324
InstanzCPLEX_HCSRP_50_1.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_50_1.log,TL,7200.00,11758805,81606,4.4878968098e+02,NA,10424,8570,90967
InstanzCPLEX_HCSRP_50_5.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_50_5.log,TL,7200.00,14216219,145185,4.4851673045e+02,NA,6874,5777,56005
InstanzCPLEX_HCSRP_10_1.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_10_1.log,OPT,0.12,2008,253,2.1819855033e+02,2.1819855033e+02,172,152,815
InstanzCPLEX_HCSRP_25_2.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_25_2.log,TL,7200.00,64767009,2077030,4.5076422365e+02,4.7604893710e+02,952,749,5958
InstanzCPLEX_HCSRP_10_7.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_10_7.log,OPT,0.08,790,58,2.2536852533e+02,2.2536852533e+02,158,142,692
InstanzVNS_HCSRP_100_3.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_100_3.log,TL,7200.04,1723415,9655,4.5569131162e+02,NA,63571,52381,765317
InstanzCPLEX_HCSRP_10_5.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_10_5.log,OPT,0.15,3055,334,1.8954317900e+02,1.8954317900e+02,174,152,819
InstanzVNS_HCSRP_300_4.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_300_4.log,OOM-BC,3663.23,100611,1660,451.5042,NA,1442855,1151044,30426855
InstanzVNS_HCSRP_200_4.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_200_4.log,TL,7200.17,255621,2024,5.3230902805e+02,NA,485489,393956,8566203
InstanzVNS_HCSRP_300_5.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_300_5.log,TL,7202.08,126059,0,6.2781136575e+02,NA,1287136,1036475,25135097
InstanzCPLEX_HCSRP_25_8.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_25_8.log,OPT,3530.27,27330006,836274,3.5768369787e+02,3.5768369787e+02,1456,1228,9656
InstanzCPLEX_HCSRP_75_6.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_75_6.log,TL,7200.00,3619558,25031,3.9365253514e+02,NA,34064,27958,373359
InstanzCPLEX_HCSRP_25_10.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_25_10.log,TL,7200.00,48567615,1308116,3.8306758564e+02,4.6274910633e+02,1860,1548,12661
InstanzVNS_HCSRP_300_6.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_300_6.log,TL,7200.55,142498,105,6.0762924792e+02,NA,1489386,1177883,32134624
InstanzVNS_HCSRP_100_7.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_100_7.log,TL,7200.02,1910488,17316,3.9295821134e+02,NA,78316,64954,983609
InstanzCPLEX_HCSRP_50_8.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_50_8.log,TL,7200.02,8335811,160564,3.6260778382e+02,8.2068531597e+02,9061,7691,76898
InstanzVNS_HCSRP_200_10.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_200_10.log,TL,7200.05,597948,4036,5.2916339502e+02,NA,480204,388723,8068716
InstanzVNS_HCSRP_100_6.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_100_6.log,TL,7200.03,1202656,8712,4.1289746998e+02,NA,68785,56896,844220
InstanzCPLEX_HCSRP_50_2.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_50_2.log,OOM-BC,3850.62,6012889,176463,354.3070,NA,9270,7680,82246
InstanzVNS_HCSRP_300_9.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_300_9.log,TL,7200.13,158890,0,6.6815929571e+02,NA,1240580,989738,25518440
InstanzCPLEX_HCSRP_75_9.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_75_9.log,TL,7200.00,4202830,39408,3.8468968337e+02,NA,27242,23009,281230
InstanzCPLEX_HCSRP_50_10.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_50_10.log,TL,7200.00,21839267,371732,4.2084461645e+02,NA,8283,6789,71343
InstanzCPLEX_HCSRP_25_9.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_25_9.log,TL,7200.01,37951455,1022781,2.8448660572e+02,4.0373219113e+02,1903,1589,13281
InstanzCPLEX_HCSRP_75_4.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_75_4.log,TL,7200.01,3838809,38459,4.1276360919e+02,NA,26216,22035,255871
InstanzVNS_HCSRP_200_8.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_200_8.log,TL,7200.02,410211,2916,5.3446081344e+02,NA,412330,331897,7046806
InstanzCPLEX_HCSRP_75_10.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_75_10.log,TL,7200.00,4188708,29615,4.7555633090e+02,NA,21974,18509,215187
InstanzCPLEX_HCSRP_10_2.txt,logs-cplex-defaults-1thread/InstanzCPLEX_HCSRP_10_2.log,OPT,0.31,7911,1145,2.4662617517e+02,2.4662617517e+02,174,150,789
InstanzVNS_HCSRP_300_2.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_300_2.log,TL,7200.16,178097,504,6.1482167734e+02,NA,1461905,1170650,30222441
InstanzVNS_HCSRP_200_3.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_200_3.log,TL,7200.20,444957,2313,5.1904472137e+02,NA,419146,342596,6827280
InstanzVNS_HCSRP_200_1.txt,logs-cplex-defaults-1thread/InstanzVNS_HCSRP_200_1.log,TL,7200.17,494586,1581,5.4664395318e+02,NA,415439,338619,6742766
