instance,logfile,time,iters,lb
InstanzVNS_HCSRP_100_5.txt,logs-cplex-lp/InstanzVNS_HCSRP_100_5.log,1.02,551,252.90417333
InstanzCPLEX_HCSRP_75_7.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_75_7.log,0.45,338,225.91795437
InstanzCPLEX_HCSRP_10_9.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_10_9.log,0,14,91.013623267
InstanzCPLEX_HCSRP_25_7.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_25_7.log,0.01,127,158.56458377
InstanzCPLEX_HCSRP_10_10.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_10_10.log,0,23,137.43173953
InstanzVNS_HCSRP_300_10.txt,logs-cplex-lp/InstanzVNS_HCSRP_300_10.log,83.35,1670,441.40920742
InstanzVNS_HCSRP_200_7.txt,logs-cplex-lp/InstanzVNS_HCSRP_200_7.log,16.8,1021,353.75588333
InstanzCPLEX_HCSRP_10_3.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_10_3.log,0,47,127.3122549
InstanzCPLEX_HCSRP_75_5.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_75_5.log,0.34,326,263.2740612
InstanzVNS_HCSRP_100_1.txt,logs-cplex-lp/InstanzVNS_HCSRP_100_1.log,1.02,654,281.04180594
InstanzCPLEX_HCSRP_25_4.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_25_4.log,0.01,132,180.53309422
InstanzCPLEX_HCSRP_50_6.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_50_6.log,0.07,145,196.5513577
InstanzVNS_HCSRP_200_9.txt,logs-cplex-lp/InstanzVNS_HCSRP_200_9.log,13.49,1058,374.73894
InstanzCPLEX_HCSRP_75_2.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_75_2.log,0.26,380,230.45069516
InstanzCPLEX_HCSRP_25_6.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_25_6.log,0.01,77,119.77495343
InstanzCPLEX_HCSRP_75_8.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_75_8.log,0.52,483,262.90129337
InstanzVNS_HCSRP_100_9.txt,logs-cplex-lp/InstanzVNS_HCSRP_100_9.log,0.86,579,270.74939333
InstanzVNS_HCSRP_300_8.txt,logs-cplex-lp/InstanzVNS_HCSRP_300_8.log,93.06,1757,461.90327333
InstanzCPLEX_HCSRP_75_3.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_75_3.log,0.42,460,231.30769662
InstanzCPLEX_HCSRP_50_7.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_50_7.log,0.12,206,190.21215126
InstanzCPLEX_HCSRP_10_6.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_10_6.log,0,43,78.88860975
InstanzCPLEX_HCSRP_10_8.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_10_8.log,0,34,130.83037464
InstanzVNS_HCSRP_200_6.txt,logs-cplex-lp/InstanzVNS_HCSRP_200_6.log,10.97,919,331.05412667
InstanzVNS_HCSRP_300_3.txt,logs-cplex-lp/InstanzVNS_HCSRP_300_3.log,72.51,1913,454.39448667
InstanzVNS_HCSRP_300_1.txt,logs-cplex-lp/InstanzVNS_HCSRP_300_1.log,95.69,1615,444.14421667
InstanzCPLEX_HCSRP_50_4.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_50_4.log,0.07,196,224.54210667
InstanzCPLEX_HCSRP_25_3.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_25_3.log,0.01,85,159.19284269
InstanzVNS_HCSRP_200_2.txt,logs-cplex-lp/InstanzVNS_HCSRP_200_2.log,14,1203,374.62401667
InstanzVNS_HCSRP_100_8.txt,logs-cplex-lp/InstanzVNS_HCSRP_100_8.log,0.96,560,279.91256752
InstanzCPLEX_HCSRP_25_5.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_25_5.log,0.01,69,177.04252238
InstanzCPLEX_HCSRP_50_3.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_50_3.log,0.09,224,197.31791579
InstanzCPLEX_HCSRP_10_4.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_10_4.log,0,39,62.45198814
InstanzVNS_HCSRP_200_5.txt,logs-cplex-lp/InstanzVNS_HCSRP_200_5.log,15.08,1198,375.07298757
InstanzVNS_HCSRP_100_2.txt,logs-cplex-lp/InstanzVNS_HCSRP_100_2.log,0.96,527,293.75235667
InstanzVNS_HCSRP_300_7.txt,logs-cplex-lp/InstanzVNS_HCSRP_300_7.log,78.87,1624,449.10665
InstanzCPLEX_HCSRP_25_1.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_25_1.log,0.01,57,163.06352615
InstanzVNS_HCSRP_100_10.txt,logs-cplex-lp/InstanzVNS_HCSRP_100_10.log,1.01,492,252.32628401
InstanzCPLEX_HCSRP_50_1.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_50_1.log,0.1,149,237.77891846
InstanzVNS_HCSRP_100_4.txt,logs-cplex-lp/InstanzVNS_HCSRP_100_4.log,1.11,523,256.19476
InstanzCPLEX_HCSRP_10_1.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_10_1.log,0,40,149.07766734
InstanzCPLEX_HCSRP_25_2.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_25_2.log,0.01,70,221.74031888
InstanzVNS_HCSRP_100_3.txt,logs-cplex-lp/InstanzVNS_HCSRP_100_3.log,0.97,626,292.79602418
InstanzCPLEX_HCSRP_10_7.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_10_7.log,0,28,103.23459703
InstanzVNS_HCSRP_300_4.txt,logs-cplex-lp/InstanzVNS_HCSRP_300_4.log,100.98,1450,451.33041
InstanzCPLEX_HCSRP_10_5.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_10_5.log,0,41,80.734874936
InstanzVNS_HCSRP_200_4.txt,logs-cplex-lp/InstanzVNS_HCSRP_200_4.log,14.84,1015,379.10541
