instance,logfile,status,time,iters,nodes,lb,ub,rows,cols,nzz
InstanzVNS_HCSRP_100_5.txt,logs-cplex-defaults/InstanzVNS_HCSRP_100_5.log,TL,7201.52,14394348,111275,3.8618137452e+02,NA,69246,57702,827311
InstanzCPLEX_HCSRP_10_9.txt,logs-cplex-defaults/InstanzCPLEX_HCSRP_10_9.log,OPT,0.74,63014,6142,2.2229502767e+02,2.2229502767e+02,242,219,1292
InstanzCPLEX_HCSRP_75_7.txt,logs-cplex-defaults/InstanzCPLEX_HCSRP_75_7.log,OOM-BC,6850.37,16779542,144236,333.4908,NA,38527,31377,429190
InstanzCPLEX_HCSRP_25_7.txt,logs-cplex-defaults/InstanzCPLEX_HCSRP_25_7.log,OPT,298.08,7765993,349048,3.2867077267e+02,3.2867077267e+02,1537,1308,20506
InstanzVNS_HCSRP_300_10.txt,logs-cplex-defaults/InstanzVNS_HCSRP_300_10.log,OOM-BC,NA,8618,0,441.4092,NA,1192978,959127,23197794
InstanzCPLEX_HCSRP_10_10.txt,logs-cplex-defaults/InstanzCPLEX_HCSRP_10_10.log,OPT,0.04,122,0,2.2500599533e+02,2.2500599533e+02,108,100,394
InstanzVNS_HCSRP_200_7.txt,logs-cplex-defaults/InstanzVNS_HCSRP_200_7.log,OOM-BC,1493.36,128251,604,466.8225,NA,519958,424421,8953420
InstanzCPLEX_HCSRP_10_3.txt,logs-cplex-defaults/InstanzCPLEX_HCSRP_10_3.log,OPT,0.42,47996,5837,3.0585957400e+02,3.0585957400e+02,162,145,722
InstanzCPLEX_HCSRP_75_5.txt,logs-cplex-defaults/InstanzCPLEX_HCSRP_75_5.log,OOM-BC,6012.60,4316181,98367,413.2065,21358.9921,29555,23964,311693
InstanzVNS_HCSRP_100_1.txt,logs-cplex-defaults/InstanzVNS_HCSRP_100_1.log,OOM-BC,1721.62,1941334,23772,398.1322,NA,65993,54398,815030
InstanzCPLEX_HCSRP_25_4.txt,logs-cplex-defaults/InstanzCPLEX_HCSRP_25_4.log,OPT,1443.47,53169361,1817684,4.1129577673e+02,4.1129577673e+02,1007,869,12102
InstanzVNS_HCSRP_200_9.txt,logs-cplex-defaults/InstanzVNS_HCSRP_200_9.log,OOM-BC,3353.01,284680,1315,512.3287,NA,437889,354031,7606058
InstanzCPLEX_HCSRP_50_6.txt,logs-cplex-defaults/InstanzCPLEX_HCSRP_50_6.log,OOM-BC,2138.05,6261930,218309,347.1938,5494.7405,8834,7270,77948
InstanzCPLEX_HCSRP_75_2.txt,logs-cplex-defaults/InstanzCPLEX_HCSRP_75_2.log,OOM-BC,4895.63,7901205,134537,379.6313,NA,23165,19112,231205
