instance,logfile,status,time,iters,nodes,lb,ub,rows,cols,nzz
InstanzCPLEX_HCSRP_10_9.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_10_9.log,OPT,0.74,19826,1555,2.2229502767e+02,2.2229502767e+02,242,219,1292
InstanzCPLEX_HCSRP_25_7.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_25_7.log,OPT,229.74,1594467,55341,3.2867077267e+02,3.2867077267e+02,1439,1208,17303
InstanzCPLEX_HCSRP_10_10.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_10_10.log,OPT,0.12,75,0,2.2500599533e+02,2.2500599533e+02,61,51,192
InstanzVNS_HCSRP_100_5.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzVNS_HCSRP_100_5.log,TL,7200.09,1339444,10862,4.0920310920e+02,8.1070346333e+02,69246,57702,827311
InstanzCPLEX_HCSRP_75_7.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_75_7.log,TL,7200.02,2132064,30806,3.7248960491e+02,5.9957505733e+02,38527,31377,447696
InstanzVNS_HCSRP_300_10.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzVNS_HCSRP_300_10.log,TL,7201.44,189044,308,6.2203709879e+02,2.0222559333e+03,1192978,959127,23197794
InstanzVNS_HCSRP_200_7.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzVNS_HCSRP_200_7.log,TL,7200.76,265796,628,5.1179735365e+02,1.1779363067e+03,519958,424421,8953420
InstanzCPLEX_HCSRP_10_3.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_10_3.log,OPT,0.42,14513,1736,3.0585957400e+02,3.0585957400e+02,162,145,722
InstanzCPLEX_HCSRP_75_5.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_75_5.log,TL,7200.05,3326017,40547,4.1115999545e+02,7.2059624693e+02,29554,23964,359335
InstanzVNS_HCSRP_100_1.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzVNS_HCSRP_100_1.log,TL,7200.04,1529710,13243,4.3035751077e+02,1.3752753867e+03,65993,54398,815030
InstanzCPLEX_HCSRP_25_4.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_25_4.log,OPT,792.65,7188187,275655,4.1129577673e+02,4.1129577673e+02,989,854,11557
InstanzVNS_HCSRP_200_9.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzVNS_HCSRP_200_9.log,TL,7200.62,256468,509,5.4315950087e+02,1.3466825600e+03,437889,354031,7606058
InstanzCPLEX_HCSRP_50_6.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_50_6.log,TL,7200.01,10161140,373751,3.6072526095e+02,8.3707035720e+02,8834,7270,114144
InstanzCPLEX_HCSRP_75_2.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_75_2.log,TL,7200.00,4482998,67811,3.8468119549e+02,6.8236544943e+02,23163,19112,287519
InstanzCPLEX_HCSRP_25_6.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_25_6.log,TL,7200.00,39913880,1393373,3.9436781639e+02,4.4169760907e+02,1421,1193,18671
InstanzCPLEX_HCSRP_75_8.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_75_8.log,TL,7200.00,3539044,33274,4.0639644807e+02,6.6177467567e+02,34791,28379,397788
InstanzVNS_HCSRP_100_9.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzVNS_HCSRP_100_9.log,TL,7200.07,2730116,11944,4.3924805314e+02,9.6956043333e+02,59105,50153,704464
InstanzVNS_HCSRP_300_8.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzVNS_HCSRP_300_8.log,TL,7202.05,228088,482,5.9207102324e+02,1.7542038867e+03,1229685,1001137,24678703
InstanzCPLEX_HCSRP_75_3.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_75_3.log,TL,7200.01,3926239,35732,3.7898709309e+02,6.5025526063e+02,33999,27687,410109
InstanzCPLEX_HCSRP_50_7.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_50_7.log,TL,7200.03,5714339,151805,3.5415225288e+02,5.2058753700e+02,12310,10291,141380
InstanzVNS_HCSRP_200_6.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzVNS_HCSRP_200_6.log,TL,7200.13,474155,1581,5.1846761284e+02,1.4412971900e+03,364034,302902,5820717
InstanzCPLEX_HCSRP_10_6.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_10_6.log,OPT,0.06,578,54,2.0009915890e+02,2.0009915890e+02,168,150,777
InstanzVNS_HCSRP_300_3.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzVNS_HCSRP_300_3.log,TL,7200.49,262571,478,5.8603744779e+02,1.6081932733e+03,1233612,998102,24500290
InstanzCPLEX_HCSRP_10_8.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_10_8.log,OPT,0.05,996,151,2.3204877757e+02,2.3204877757e+02,141,124,588
InstanzVNS_HCSRP_300_1.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzVNS_HCSRP_300_1.log,TL,7200.20,138418,35,6.0307681828e+02,2.0369793633e+03,1316360,1068000,26205776
InstanzVNS_HCSRP_200_2.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzVNS_HCSRP_200_2.log,TL,7200.19,214011,527,5.4331729732e+02,1.4595230667e+03,435965,356103,7229897
InstanzCPLEX_HCSRP_50_4.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_50_4.log,TL,7200.00,9109920,192745,3.7198592495e+02,5.1395280533e+02,8751,7453,124271
InstanzCPLEX_HCSRP_25_3.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_25_3.log,OPT,1983.53,14995113,497517,3.9909187640e+02,3.9909187640e+02,1398,1170,18045
InstanzCPLEX_HCSRP_25_5.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_25_5.log,OPT,4525.59,38740738,1280186,3.6633909303e+02,3.6633909303e+02,1202,992,15188
InstanzVNS_HCSRP_100_8.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzVNS_HCSRP_100_8.log,TL,7200.03,1335918,6115,4.3389393981e+02,7.6179983667e+02,66371,53990,795657
InstanzCPLEX_HCSRP_50_3.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_50_3.log,TL,7200.02,7445108,213169,3.9047876309e+02,5.5408043103e+02,8684,7327,118225
InstanzCPLEX_HCSRP_10_4.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_10_4.log,OPT,0.79,21602,2626,1.8689694460e+02,1.8689694460e+02,133,128,600
InstanzVNS_HCSRP_200_5.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzVNS_HCSRP_200_5.log,TL,7201.27,240251,503,5.3813969309e+02,1.3919313033e+03,484712,391512,8241167
InstanzVNS_HCSRP_100_2.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzVNS_HCSRP_100_2.log,TL,7200.08,1637544,11183,4.3164947534e+02,9.0499735000e+02,63201,52118,779702
InstanzVNS_HCSRP_300_7.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzVNS_HCSRP_300_7.log,TL,7200.17,166355,525,6.0242373225e+02,1.7775384267e+03,1280072,1049769,25510902
InstanzCPLEX_HCSRP_25_1.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_25_1.log,OPT,2859.82,24769983,1350874,4.2809667333e+02,4.2809667333e+02,1372,1122,8942
InstanzVNS_HCSRP_100_10.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzVNS_HCSRP_100_10.log,TL,7200.01,2338544,7485,4.5000285850e+02,8.6718218000e+02,65545,52635,810324
InstanzCPLEX_HCSRP_50_1.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_50_1.log,TL,7200.04,6349809,101622,4.5924866422e+02,9.5863914503e+02,10424,8570,120386
InstanzVNS_HCSRP_100_4.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzVNS_HCSRP_100_4.log,TL,7200.09,1122467,18152,4.0406544447e+02,7.3272603333e+02,74154,60928,904166
InstanzCPLEX_HCSRP_50_5.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_50_5.log,TL,7200.01,7716789,174234,4.6497407516e+02,6.6206159633e+02,6874,5777,95308
InstanzCPLEX_HCSRP_10_1.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_10_1.log,OPT,0.13,455,17,2.1819855033e+02,2.1819855033e+02,111,98,427
InstanzCPLEX_HCSRP_25_2.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_25_2.log,OPT,359.14,3302827,194525,4.7604893710e+02,4.7604893710e+02,934,738,9144
InstanzVNS_HCSRP_100_3.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzVNS_HCSRP_100_3.log,TL,7200.01,1747603,11464,4.5149803135e+02,8.1818502667e+02,63571,52381,765317
InstanzCPLEX_HCSRP_10_7.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_10_7.log,OPT,0.02,123,0,2.2536852533e+02,2.2536852533e+02,6,7,15
InstanzCPLEX_HCSRP_10_5.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzCPLEX_HCSRP_10_5.log,OPT,0.09,1110,132,1.8954317900e+02,1.8954317900e+02,174,152,819
InstanzVNS_HCSRP_300_4.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzVNS_HCSRP_300_4.log,TL,7200.66,152310,473,5.9449199376e+02,1.7229622367e+03,1442855,1151044,30426855
InstanzVNS_HCSRP_200_4.txt,logs-cplex-defaults-mem-emphasis-1thread-warmstart/InstanzVNS_HCSRP_200_4.log,TL,7200.19,342825,1008,5.3183670621e+02,1.1627688400e+03,485489,393956,8566203
