instance,logfile,status,time,iters,nodes,lb,ub,rows,cols,nzz
InstanzCPLEX_HCSRP_10_10.txt,logfiles/logs-sce7-cplex-defaults-mem-emphasis-1thread-fcut/InstanzCPLEX_HCSRP_10_10.log,OPT,0.13,107,0,2.2500599533e+02,2.2500599533e+02,152,100,590
InstanzCPLEX_HCSRP_10_2.txt,logfiles/logs-sce7-cplex-defaults-mem-emphasis-1thread-fcut/InstanzCPLEX_HCSRP_10_2.log,OPT,0.22,4972,493,2.4662617517e+02,2.4662617517e+02,255,150,1281
InstanzCPLEX_HCSRP_10_1.txt,logfiles/logs-sce7-cplex-defaults-mem-emphasis-1thread-fcut/InstanzCPLEX_HCSRP_10_1.log,OPT,0.09,1037,80,2.1819855033e+02,2.1819855033e+02,255,152,1347
InstanzCPLEX_HCSRP_10_3.txt,logfiles/logs-sce7-cplex-defaults-mem-emphasis-1thread-fcut/InstanzCPLEX_HCSRP_10_3.log,OPT,0.93,17103,2070,3.0585957400e+02,3.0585957400e+02,213,145,864
InstanzCPLEX_HCSRP_10_5.txt,logfiles/logs-sce7-cplex-defaults-mem-emphasis-1thread-fcut/InstanzCPLEX_HCSRP_10_5.log,OPT,0.19,3391,348,1.8954317900e+02,1.8954317900e+02,257,152,1351
InstanzCPLEX_HCSRP_10_4.txt,logfiles/logs-sce7-cplex-defaults-mem-emphasis-1thread-fcut/InstanzCPLEX_HCSRP_10_4.log,OPT,1.28,24134,2814,1.8689694460e+02,1.8689694460e+02,219,154,974
InstanzCPLEX_HCSRP_10_6.txt,logfiles/logs-sce7-cplex-defaults-mem-emphasis-1thread-fcut/InstanzCPLEX_HCSRP_10_6.log,OPT,0.15,2149,251,2.0009915890e+02,2.0009915890e+02,249,150,1269
InstanzCPLEX_HCSRP_10_7.txt,logfiles/logs-sce7-cplex-defaults-mem-emphasis-1thread-fcut/InstanzCPLEX_HCSRP_10_7.log,OPT,0.12,1269,98,2.2536852533e+02,2.2536852533e+02,236,142,1414
InstanzCPLEX_HCSRP_10_9.txt,logfiles/logs-sce7-cplex-defaults-mem-emphasis-1thread-fcut/InstanzCPLEX_HCSRP_10_9.log,OPT,2.22,19359,1219,2.2229502767e+02,2.2229502767e+02,374,219,2396
InstanzCPLEX_HCSRP_10_8.txt,logfiles/logs-sce7-cplex-defaults-mem-emphasis-1thread-fcut/InstanzCPLEX_HCSRP_10_8.log,OPT,0.18,2883,469,2.3204877757e+02,2.3204877757e+02,203,124,1012
InstanzCPLEX_HCSRP_25_10.txt,logfiles/logs-sce7-cplex-defaults-mem-emphasis-1thread-fcut/InstanzCPLEX_HCSRP_25_10.log,TL,7200.00,28188967,644649,3.7791084579e+02,4.6274910633e+02,3123,1548,37705
